"method","gene","func","median_tval","median_df","pval","pval_sd","num_signif","num_mutations","num_mutated_samples","number_synonymous_filtered","num_muts_greater_than_7_depth","proportion_greater_than_7_depth","num_samples_w_more_than_required","num_samples_sampling_from_mutated_samples","num_samples_sampling_from_global_synon","num_samples_sampling_from_mut_type_within_patient","num_samples_sampling_incomplete","sampling_func","is_cgc"
"weighted_RVdriver","RGAG4","Missense_Mutation",0.213290688317862,NA,0.367419738145241,0.201844193924665,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","SAMD4B","Missense_Mutation",-0.777892062283519,NA,0.706976085054365,0.173460359476919,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","SAMD4B","Missense_Mutation",-0.775637588943625,NA,0.709914620267025,0.158318341785038,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","SCLT1","Missense_Mutation",-0.492914665734229,NA,0.718712936420251,0.19604514467746,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","SCLT1","Missense_Mutation",-0.770635875382652,NA,0.756322285663655,0.172609487694088,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","SCRIB","all_mutation_types",-2.02817587479639,NA,0.869809660469403,0.0948914125569959,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","SCRIB","all_mutation_types",-1.93050325850648,NA,0.878592792586506,0.0809520372846724,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","SETDB1","Missense_Mutation",-0.599857357256311,NA,0.703066243445073,0.179463354257318,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"weighted_RVdriver","SETDB1","Missense_Mutation",-0.595665103042326,NA,0.661107686840923,0.201418730706441,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","SIAH1","Missense_Mutation",-0.421483559429566,NA,0.600236443253915,0.139641165114434,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","SIAH1","Missense_Mutation",-0.453784981700184,NA,0.611952667901889,0.128393412200321,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","SPOP","Missense_Mutation",3.31811637842792,NA,0.00247611977812625,0.00788127269584156,25,4,3,2,4,1,3,0,0,0,0,"expo",TRUE
"weighted_RVdriver","SPOP","Missense_Mutation",3.54662113098807,NA,0.00204951889136191,0.00630015548716455,25,4,3,2,4,1,3,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","SRRM2","Missense_Mutation",-0.290383555697404,NA,0.282671899970849,0.366034328440766,6,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","SRRM2","Missense_Mutation",-0.235772710628338,NA,0.270864489468525,0.373461860309408,6,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","TIMELESS","Missense_Mutation",-1.09183924247291,NA,0.734653597215799,0.190346272277036,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","TIMELESS","Missense_Mutation",-0.916129169520427,NA,0.712214525800607,0.197842869847623,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","TLN2","Missense_Mutation",-0.150194498792157,NA,0.526056887810231,0.153307585427404,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","TLN2","Missense_Mutation",-0.216996115575825,NA,0.526582570970653,0.16514721674442,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","TMUB2","Missense_Mutation",-0.158165898218805,NA,0.358316436544243,0.287687578322284,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","TMUB2","Missense_Mutation",-0.079546912341441,NA,0.328972744545514,0.288682297299404,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","TP53","Missense_Mutation",10.874928920336,NA,1.52104056844586e-26,1.04373581656778e-27,25,42,40,80,37,0.880952380952381,0,0,1,1,38,"expo",TRUE
"non_weighted_RVdriver","TP53","Nonsense_Mutation",0.301706008379894,NA,0.381807864061618,0.148078627656401,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"non_weighted_RVdriver","TP53","all_mutation_types",11.2877236608716,NA,2.18952348322407e-28,5.14543362998274e-42,25,49,46,92,40,0.816326530612245,0,0,0,0,46,"expo",TRUE
"weighted_RVdriver","TP53","Missense_Mutation",12.1494056558578,NA,2.83429306009231e-32,2.56598328455211e-33,25,42,40,80,37,0.880952380952381,0,0,1,1,38,"expo",TRUE
"weighted_RVdriver","TP53","Nonsense_Mutation",0.0497671803631336,NA,0.449443433813456,0.157900872205644,0,2,2,1,2,1,2,0,0,0,0,"expo",TRUE
"weighted_RVdriver","TP53","all_mutation_types",12.3650838147671,NA,2.38675954424422e-33,6.24778697589658e-47,25,49,46,92,40,0.816326530612245,0,0,0,0,46,"expo",TRUE
"non_weighted_RVdriver","UBXN1","Missense_Mutation",-0.184860197054315,NA,0.435988138190691,0.266146634291496,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","UBXN1","Missense_Mutation",-0.277261597291778,NA,0.44974061020398,0.261622996216108,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","UNC119","Missense_Mutation",0.535881303951127,NA,0.322669103532691,0.113493620428974,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","UNC119","Missense_Mutation",0.408126774229925,NA,0.342306557672112,0.110585254862667,0,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","UQCRC1","Missense_Mutation",3.94780026586,NA,0.0203086248636484,0.048153664229758,19,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"weighted_RVdriver","UQCRC1","Missense_Mutation",4.29062316641499,NA,0.0180090297905694,0.0367198144456652,19,2,2,1,2,1,2,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","YARS","Missense_Mutation",-0.737367870424794,NA,0.721786396083046,0.158602929098602,0,3,3,2,3,1,3,0,0,0,0,"expo",FALSE
"weighted_RVdriver","YARS","Missense_Mutation",-0.838648786749455,NA,0.724988441572291,0.161727299243128,0,3,3,2,3,1,3,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","ZBTB7B","Missense_Mutation",0.179349509356562,NA,0.33392637285512,0.219158109250111,1,4,3,2,4,1,3,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","ZBTB7B","all_mutation_types",0.943651343878415,NA,0.196804103983858,0.167155334146997,2,5,4,2,4,0.8,4,0,0,0,0,"expo",FALSE
"weighted_RVdriver","ZBTB7B","Missense_Mutation",0.224966587680531,NA,0.292545579718743,0.215446899340162,1,4,3,2,4,1,3,0,0,0,0,"expo",FALSE
"weighted_RVdriver","ZBTB7B","all_mutation_types",1.01443263943346,NA,0.181384192469185,0.144604403841706,2,5,4,2,4,0.8,4,0,0,0,0,"expo",FALSE
"non_weighted_RVdriver","ZFAT","Missense_Mutation",-1.15795282086317,NA,0.838046215188403,0.110844169738848,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",FALSE
"weighted_RVdriver","ZFAT","Missense_Mutation",-1.15025542711129,NA,0.806719359545468,0.121282995299339,0,3,3,2,2,0.666666666666667,3,0,0,0,0,"expo",FALSE
